Age,Gender,Civil Status,Religion,Educational Attainment,Barangay,Type of Current Offense,Prior Convictions,Juvenile Records,History of Incarceration,Length of Current Sentence (yrs),Time Served (yrs),Reoffense Nature,Time to Reoffend (mos),Infractions Count,Infractions Type,Jail Behavior Rating,Solitary Time (days),Jail Duties,Rehab Programs,Religious Activities,Group Recreation,Psych Assessment Result,Personality Disorders,Conflict in Jail,Impulsivity,Manipulativeness,Aggression,Remorse,Law Belief,Rehab Attitude,Gang Affiliation,Peer Influence,Friends w/ Record,Peer Type,Living Before Arrest,Education in Jail,Vocational Training,Therapy Attendance,Substance Abuse,Drug Rehab,Family Support,Family Relationship,Domestic Trauma,Marital Quality,Dependents,Family Reunification Intent,Pre-Jail Education,Job History,Income Level,Homelessness,Access to Needs,Juvenile Street Living,Release Date,Parole Status,Job After Release,NGO Support,Post-Release Housing,Post-Release Programs,Reoffend Time (mos),Reoffense Type
58,Male,Single,Muslim,Elementary,San Pablo Norte,Illegal Drugs,0 - Homicide,Yes,No,1,0.5,Same,15,4,Verbal Threats,Poor,6,No,Yes,No,None,High,None,Yes,High,Moderate,Moderate,Some,Low,Cooperative,No,Yes,0,Prosocial,With Family,No,No,No,None,No,None,Strong,No,Good,4,No,Elementary,Clerk,Medium,Yes,None,Yes,11/8/2020,Completed,Employed,Yes,With Family,No,15,Illegal Drugs
35,Female,Widowed,Christian,High School,San Juan,Illegal Drugs,2 - Homicide,Yes,Yes,9,6.7,Same,30,3,Contraband,Poor,22,Yes,No,Yes,Sports,Low,Antisocial,No,Moderate,Low,Low,No,High,Willing,Yes,No,3,Prosocial,Alone,No,Yes,Yes,Drugs,No,None,Strained,No,Good,1,No,High School,Unemployed,None,Yes,Regular,Yes,10/3/2023,Completed,Unemployed,No,Halfway House,Yes,30,Illegal Drugs
61,Male,Widowed,Muslim,None,Bagumbayan,Estafa,1 - Estafa,Yes,No,9,7,None,,0,Contraband,Poor,16,Yes,Yes,No,Sports,Low,Schizoid,No,Moderate,Low,Low,Some,Moderate,Cooperative,Yes,Yes,4,Antisocial,With Family,No,Yes,Yes,Alcohol,No,None,Strong,No,,4,No,None,Odd Jobs,Low,No,Irregular,No,9/15/2023,Parole,Employed,Yes,With Family,No,,
19,Male,Married,Catholic,None,Patimbao,Homicide,0 - Illegal Drugs,Yes,Yes,14,5,None,,1,Contraband,Poor,15,Yes,Yes,No,Sports,Very High,Narcissistic,Yes,Low,Low,High,Some,Moderate,Willing,No,No,5,Antisocial,With Family,Yes,No,No,None,Yes,Frequent,Strong,No,Good,3,Yes,None,Construction,High,Yes,Regular,No,2/2/2024,None,Employed,Yes,Renting,Yes,,
44,Female,Separated,Christian,Vocational,Malinao,Theft,1 - Estafa,Yes,No,5,4.7,Escalation,19,3,None,Good,6,No,Yes,Yes,None,Low,Antisocial,Yes,Low,High,Moderate,No,High,Cooperative,Yes,Yes,1,Antisocial,With Family,Yes,No,Yes,Alcohol,Yes,None,Strong,No,,4,No,Vocational,Construction,Low,No,Regular,No,3/22/2023,None,Unemployed,No,Halfway House,Yes,19,Theft
18,Female,Single,Catholic,College,San Pablo Norte,Robbery,2 - Illegal Drugs,No,Yes,15,4,Escalation,11,3,Contraband,Poor,25,Yes,No,Yes,Sports,High,None,Yes,High,High,Low,Some,Moderate,Resistant,Yes,No,1,Prosocial,Homeless,No,Yes,Yes,Both,No,Frequent,Strong,No,Good,5,No,College,Odd Jobs,High,No,None,Yes,2/23/2020,Parole,Employed,No,Renting,No,11,Robbery
26,Male,Widowed,Muslim,None,Malinao,Assault,1 - Homicide,Yes,Yes,6,4.8,Escalation,10,1,Fighting,Good,28,No,Yes,Yes,None,High,Narcissistic,Yes,Moderate,Low,High,Yes,Moderate,Cooperative,No,Yes,1,Prosocial,With Peers,No,Yes,Yes,None,Yes,Occasional,Strained,No,Good,2,No,None,Clerk,High,No,Regular,Yes,3/19/2022,Completed,Employed,Yes,Homeless,No,10,Assault
64,Female,Separated,None,College,Santo Angel,Estafa,1 - Assault,Yes,No,1,0.8,None,,5,Fighting,Fair,13,Yes,No,No,None,Low,Antisocial,No,High,Moderate,Moderate,Some,High,Willing,Yes,Yes,3,Prosocial,Alone,No,No,Yes,Drugs,No,Frequent,Strained,No,Poor,3,No,College,Clerk,Low,No,None,Yes,5/17/2020,None,Unemployed,Yes,Renting,No,,
32,Male,Married,Catholic,None,San Pablo Norte,Estafa,0 - Estafa,No,Yes,12,8.5,Escalation,26,1,Fighting,Poor,22,Yes,Yes,No,Sports,Moderate,Schizoid,No,Low,High,Low,Yes,Moderate,Cooperative,No,No,3,Prosocial,Homeless,Yes,No,No,Drugs,Yes,None,Strained,No,,1,No,None,Retail,None,No,Regular,No,6/18/2022,Parole,Employed,Yes,Renting,No,26,Estafa
62,Male,Married,Catholic,Vocational,Calios,Assault,3 - Estafa,Yes,Yes,14,6.2,None,,5,Verbal Threats,Poor,12,No,Yes,No,Art Therapy,Very High,Narcissistic,Yes,Moderate,Low,Moderate,Some,Moderate,Cooperative,No,No,5,Prosocial,Alone,No,Yes,Yes,Both,Yes,Frequent,Absent,No,Good,3,Yes,Vocational,Unemployed,Medium,No,Irregular,Yes,6/11/2023,Completed,Unemployed,No,Halfway House,Yes,,
