Feature,SHAP_Importance,Percentage_Contribution
Civil Status_Widowed,0.14303008579778348,15.524785764214352
Infractions Count,0.1313680236800174,14.258961060709325
Homelessness_No,0.11895327730909813,12.911438428316648
Rehab Attitude_Cooperative,0.09190811163664679,9.975899372456011
Jail Behavior Rating_Poor,0.0695618542192802,7.55038968264795
Job History_Clerk,0.061488761673866736,6.674119270565443
Job History_Unemployed,0.05143995969742484,5.583401209388892
Vocational Training_No,0.041895542124257,4.547430090157908
Prior Convictions_1 - Theft,0.03602155610682561,3.9098553170326142
Prior Convictions_2 - Assault,0.0338578318689878,3.6750001461228976
Therapy Attendance_No,0.0278916828445281,3.0274218067442558
Prior Convictions_0 - Assault,0.026958053870081034,2.9260837579644616
Post-Release Housing_Homeless,0.02431079534277061,2.638744760230177
Civil Status_Separated,0.023600464273752588,2.5616439348572464
Prior Convictions_0 - Estafa,0.01574462596795208,1.7089547540069367
Prior Convictions_2 - Robbery,0.011100368452239572,1.2048572939297895
Type of Current Offense_Illegal Drugs,0.009283740671302745,1.0076767010841867
Prior Convictions_3 - Illegal Drugs,0.0028867752864597035,0.313336649570897
Prior Convictions_0 - Fraud,0.0,0.0
Prior Convictions_3 - Theft,0.0,0.0
